time_5min,location,avg_shake_intensity,avg_sewer_water,avg_power,avg_roads_bridges,avg_medical,avg_buildings,count
2020-04-06T00:35:00Z,10,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:35:00Z,11,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:35:00Z,12,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:35:00Z,13,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:35:00Z,14,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:35:00Z,15,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:35:00Z,16,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:35:00Z,17,0,2,0,3,0,4,1
2020-04-06T00:35:00Z,18,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:35:00Z,19,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:40:00Z,1,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:40:00Z,2,1,6,6,1.5,0,2.5,2
2020-04-06T00:40:00Z,3,0,10,2,5,6,3,2
2020-04-06T00:40:00Z,4,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:40:00Z,5,0,2.5,4.5,5.5,4,7,2
2020-04-06T00:40:00Z,6,0,10,5,2.5,5,7,2
2020-04-06T00:40:00Z,7,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:40:00Z,8,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:40:00Z,9,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:40:00Z,10,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:40:00Z,11,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:40:00Z,12,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:40:00Z,13,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:40:00Z,14,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:40:00Z,15,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:40:00Z,16,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:40:00Z,17,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:40:00Z,18,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:40:00Z,19,1,4,5,7,0,3,1
2020-04-06T00:45:00Z,1,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:45:00Z,2,0,9.5,7,1.5,0,6.5,2
2020-04-06T00:45:00Z,3,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:45:00Z,4,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:45:00Z,5,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:45:00Z,6,0,10,4,8,1,0,1
2020-04-06T00:45:00Z,7,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:45:00Z,8,0,0,7,6,0,0,1
2020-04-06T00:45:00Z,9,0,4,4,8,2,5,1
2020-04-06T00:45:00Z,10,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:45:00Z,11,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:45:00Z,12,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:45:00Z,13,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:45:00Z,14,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:45:00Z,15,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:45:00Z,16,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:45:00Z,17,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:45:00Z,18,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:45:00Z,19,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:50:00Z,1,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:50:00Z,2,0,8,10,10,0,0,1
2020-04-06T00:50:00Z,3,0,0,4,3,10,3,1
2020-04-06T00:50:00Z,4,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:50:00Z,5,0,9,1,2,5,1,1
2020-04-06T00:50:00Z,6,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:50:00Z,7,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:50:00Z,8,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:50:00Z,9,0,7,0,9,3,9,1
2020-04-06T00:50:00Z,10,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:50:00Z,11,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:50:00Z,12,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:50:00Z,13,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:50:00Z,14,0,3,2.5,5,0,6,2
2020-04-06T00:50:00Z,15,0,9,7,1,0,9,1
2020-04-06T00:50:00Z,16,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:50:00Z,17,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:50:00Z,18,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:50:00Z,19,1,9,0,9,0,9,1
2020-04-06T00:55:00Z,1,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:55:00Z,2,0,8,4,7,0,6,1
2020-04-06T00:55:00Z,3,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:55:00Z,4,0,9,0,1,0,5,1
2020-04-06T00:55:00Z,5,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:55:00Z,6,1,7,5,5,7,3,1
2020-04-06T00:55:00Z,7,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:55:00Z,8,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:55:00Z,9,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:55:00Z,10,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:55:00Z,11,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:55:00Z,12,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:55:00Z,13,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:55:00Z,14,0,7,8,4,0,1,1
2020-04-06T00:55:00Z,15,0,7.5,5.25,7.75,0,4.25,4
2020-04-06T00:55:00Z,16,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:55:00Z,17,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:55:00Z,18,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:55:00Z,19,0,6,2,2,0,1,1
2020-04-06T01:00:00Z,1,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:00:00Z,2,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:00:00Z,3,0,0,3,5,2,7,1
2020-04-06T01:00:00Z,4,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:00:00Z,5,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:00:00Z,6,0,5.5,8,7,3.5,6,2
2020-04-06T01:00:00Z,7,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:00:00Z,8,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:00:00Z,9,0,8.5,7,4,4.5,4,2
2020-04-06T01:00:00Z,10,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:00:00Z,11,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:00:00Z,12,0,10,10,10,0,10,1
2020-04-06T01:00:00Z,13,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:00:00Z,14,0,9,6,5,0,3.5,2
2020-04-06T01:00:00Z,15,0,10,3,5,0,0,1
2020-04-06T01:00:00Z,16,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:00:00Z,17,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:00:00Z,18,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:00:00Z,19,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:05:00Z,1,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:05:00Z,2,1,6.5,4.5,2,0,8,2
2020-04-06T01:05:00Z,3,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:05:00Z,4,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:05:00Z,5,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:05:00Z,6,0,7,2,3,6,10,1
2020-04-06T01:05:00Z,7,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:05:00Z,8,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:05:00Z,9,0,7,9,10,0,1,1
2020-04-06T01:05:00Z,10,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:05:00Z,11,0,5,10,7,10,5,1
2020-04-06T01:05:00Z,12,0,0,10,4,0,9,1
2020-04-06T01:05:00Z,13,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:05:00Z,14,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:05:00Z,15,0,0,5,0,0,2,1
2020-04-06T01:05:00Z,16,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:05:00Z,17,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:05:00Z,18,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:05:00Z,19,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:10:00Z,1,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:10:00Z,2,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:10:00Z,3,0,0.5,5.5,5,5,5.5,2
2020-04-06T01:10:00Z,4,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:10:00Z,5,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:10:00Z,6,0,7,5,5,7,4.5,2
2020-04-06T01:10:00Z,7,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:10:00Z,8,0,10,6,7,0,10,1
2020-04-06T01:10:00Z,9,0,1,6,4,10,6,1
2020-04-06T01:10:00Z,10,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:10:00Z,11,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:10:00Z,12,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:10:00Z,13,0,7,3,9,0,8,1
2020-04-06T01:10:00Z,14,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:10:00Z,15,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:10:00Z,16,0,10,4,5,8,7,2
2020-04-06T01:10:00Z,17,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:10:00Z,18,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:10:00Z,19,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:15:00Z,1,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:15:00Z,2,0,10,2,10,0,8,1
2020-04-06T01:15:00Z,3,0,6,10,3,2,4,1
2020-04-06T01:15:00Z,4,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:15:00Z,5,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:15:00Z,6,0,4.333333333333333,4.666666666666667,4.333333333333333,5.333333333333333,3,3
2020-04-06T01:15:00Z,7,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:15:00Z,8,0,6.25,2.75,4.25,0,5.75,4
2020-04-06T01:15:00Z,9,0,8,9,1,3,1,1
2020-04-06T01:15:00Z,10,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:15:00Z,11,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:15:00Z,12,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:15:00Z,13,0,5,8.5,7,0,5.5,2
2020-04-06T01:15:00Z,14,0,4,10,5,0,10,1
2020-04-06T01:15:00Z,15,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:15:00Z,16,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:15:00Z,17,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:15:00Z,18,0,1,5,9,0,10,1
2020-04-06T01:15:00Z,19,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:20:00Z,1,0,10,7,6,7,3,1
2020-04-06T01:20:00Z,2,0,10,3,0,0,3,1
2020-04-06T01:20:00Z,3,0,6,4,8,9,10,1
2020-04-06T01:20:00Z,4,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:20:00Z,5,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:20:00Z,6,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:20:00Z,7,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:20:00Z,8,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:20:00Z,9,0,0,7,2,2,4,1
2020-04-06T01:20:00Z,10,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:20:00Z,11,0,10,0,7,6,6,1
2020-04-06T01:20:00Z,12,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:20:00Z,13,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:20:00Z,14,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:20:00Z,15,1,4,9,10,0,6,1
2020-04-06T01:20:00Z,16,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:20:00Z,17,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:20:00Z,18,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:20:00Z,19,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:25:00Z,1,1,5,0,6,3,6,1
2020-04-06T01:25:00Z,2,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:25:00Z,3,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:25:00Z,4,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:25:00Z,5,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:25:00Z,6,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:25:00Z,7,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:25:00Z,8,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:25:00Z,9,0,6,2,7,3,8,1
2020-04-06T01:25:00Z,10,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:25:00Z,11,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:25:00Z,12,0,10,5,2,0,4,1
2020-04-06T01:25:00Z,13,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:25:00Z,14,0,4.5,7.5,6,0,2.5,2
2020-04-06T01:25:00Z,15,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:25:00Z,16,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:25:00Z,17,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:25:00Z,18,0,4,10,10,0,10,1
2020-04-06T01:25:00Z,19,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:30:00Z,1,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:30:00Z,2,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:30:00Z,3,0,5,10,7,6,5,1
2020-04-06T01:30:00Z,4,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:30:00Z,5,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:30:00Z,6,0,2,1,2,8,7,1
2020-04-06T01:30:00Z,7,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:30:00Z,8,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:30:00Z,9,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:30:00Z,10,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:30:00Z,11,0,10,4,2,6,7,1
2020-04-06T01:30:00Z,12,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:30:00Z,13,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:30:00Z,14,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:30:00Z,15,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:30:00Z,16,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:30:00Z,17,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:30:00Z,18,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:30:00Z,19,0,8,7,1,0,2,1
2020-04-06T01:35:00Z,1,0,9,10,2,4,0,1
2020-04-06T01:35:00Z,2,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:35:00Z,3,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:35:00Z,4,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:35:00Z,5,0,2,3,5,4,10,1
2020-04-06T01:35:00Z,6,0,6,3,10,7,2,1
2020-04-06T01:35:00Z,7,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:35:00Z,8,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:35:00Z,9,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:35:00Z,10,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:35:00Z,11,0,2,9,10,10,4,1
2020-04-06T01:35:00Z,12,0,1,10,7,0,3,1
2020-04-06T01:35:00Z,13,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:35:00Z,14,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:35:00Z,15,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:35:00Z,16,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:35:00Z,17,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:35:00Z,18,0,2,10,7,0,8,1
2020-04-06T01:35:00Z,19,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:40:00Z,1,NA,NA,NA,NA,NA,NA,NA
2020-04-06T01:40:00Z,2,0,5,3,6,0,4,1
